date,org_name,metric,category_1,category_2,category_3,category_4
2017-08-01,England (Average of all regions),Mean,9.233333333,23.91666667,50.68333333,81.41666667
2017-08-01,England (Average of all regions),90th percentile,15.2,53.15,118.0833333,152.8166667
2017-08-01,North East and Yorkshire,Mean,,,,
2017-08-01,North East and Yorkshire,90th percentile,,,,
2017-08-01,North West,Mean,10.11666667,24.33333333,42.7,84.2
2017-08-01,North West,90th percentile,15.98333333,55.9,97.48333333,154.35
2017-08-01,Midlands,Mean,8,23.41666667,61.11666667,55.2
2017-08-01,Midlands,90th percentile,14.08333333,49.76666667,144.9333333,138.3833333
2017-08-01,East of England,Mean,,,,
2017-08-01,East of England,90th percentile,,,,
2017-08-01,London,Mean,,,,
2017-08-01,London,90th percentile,,,,
2017-08-01,South East,Mean,,,,
2017-08-01,South East,90th percentile,,,,
2017-08-01,South West,Mean,,,,
2017-08-01,South West,90th percentile,,,,
2017-09-01,England (Average of all regions),Mean,8.116666667,21.98333333,48.53333333,77.91666667
2017-09-01,England (Average of all regions),90th percentile,14.25,46.8,113.2333333,164.9166667
2017-09-01,North East and Yorkshire,Mean,7.233333333,21.31666667,47.3,82.25
2017-09-01,North East and Yorkshire,90th percentile,13.46666667,44.81666667,109.3333333,195.0666667
2017-09-01,North West,Mean,9.833333333,25.08333333,51.1,88.98333333
2017-09-01,North West,90th percentile,16.35,56.21666667,118.35,161.9
2017-09-01,Midlands,Mean,7.55,19.83333333,47.56666667,58.96666667
2017-09-01,Midlands,90th percentile,13.28333333,40.25,111.7666667,151.55
2017-09-01,East of England,Mean,,,,
2017-09-01,East of England,90th percentile,,,,
2017-09-01,London,Mean,,,,
2017-09-01,London,90th percentile,,,,
2017-09-01,South East,Mean,,,,
2017-09-01,South East,90th percentile,,,,
2017-09-01,South West,Mean,,,,
2017-09-01,South West,90th percentile,,,,
2017-10-01,England (Average of all regions),Mean,7.916666667,21.93333333,44.83333333,68.51666667
2017-10-01,England (Average of all regions),90th percentile,13.71666667,46.7,104.6166667,151.1833333
2017-10-01,North East and Yorkshire,Mean,7.183333333,19.63333333,40.33333333,67.31666667
2017-10-01,North East and Yorkshire,90th percentile,13.28333333,41.35,91.7,173.0833333
2017-10-01,North West,Mean,9.483333333,25.98333333,51.9,81.28333333
2017-10-01,North West,90th percentile,15.6,57.81666667,122.1333333,150.1833333
2017-10-01,Midlands,Mean,7.383333333,19.9,43.1,51.81666667
2017-10-01,Midlands,90th percentile,12.76666667,40.73333333,100.8333333,140.85
2017-10-01,East of England,Mean,,,,
2017-10-01,East of England,90th percentile,,,,
2017-10-01,London,Mean,,,,
2017-10-01,London,90th percentile,,,,
2017-10-01,South East,Mean,,,,
2017-10-01,South East,90th percentile,,,,
2017-10-01,South West,Mean,,,,
2017-10-01,South West,90th percentile,,,,
2017-11-01,England (Average of all regions),Mean,7.95,22.75,54.18333333,80.48333333
2017-11-01,England (Average of all regions),90th percentile,13.8,47.73333333,126.9666667,182.3166667
2017-11-01,North East and Yorkshire,Mean,7.25,20.23333333,65.75,74.95
2017-11-01,North East and Yorkshire,90th percentile,12.81666667,41.9,152.0333333,186.9166667
2017-11-01,North West,Mean,9.733333333,30.56666667,52.28333333,84.28333333
2017-11-01,North West,90th percentile,16.23333333,70.31666667,121.9833333,156
2017-11-01,Midlands,Mean,7.633333333,22.28333333,44.2,50.46666667
2017-11-01,Midlands,90th percentile,13.43333333,45.71666667,102.3,129.6333333
2017-11-01,East of England,Mean,8.683333333,24.45,72.78333333,96.1
2017-11-01,East of England,90th percentile,15.78333333,49.15,180,232.9333333
2017-11-01,London,Mean,7.066666667,18.45,56.86666667,72.1
2017-11-01,London,90th percentile,11.46666667,36.53333333,135,148.9
2017-11-01,South East,Mean,7.283333333,14.66666667,48.06666667,80.55
2017-11-01,South East,90th percentile,13.01666667,28.48333333,110.1166667,174.1
2017-11-01,South West,Mean,10.45,29.05,61.95,100.7833333
2017-11-01,South West,90th percentile,18.28333333,61.86666667,143.4666667,235.3166667
2017-12-01,England (Average of all regions),Mean,8.866666667,29.6,79.01666667,106.7
2017-12-01,England (Average of all regions),90th percentile,15.4,62.98333333,186.8,248.8166667
2017-12-01,North East and Yorkshire,Mean,7.9,27.65,96.56666667,105.2333333
2017-12-01,North East and Yorkshire,90th percentile,13.78333333,58.75,224.3,260.4166667
2017-12-01,North West,Mean,11.28333333,44.81666667,75.58333333,105.8333333
2017-12-01,North West,90th percentile,18.58333333,103.9166667,174.8,213.5833333
2017-12-01,Midlands,Mean,8.4,25.91666667,53.73333333,66.36666667
2017-12-01,Midlands,90th percentile,14.78333333,54.2,126.4666667,174.2833333
2017-12-01,East of England,Mean,9.183333333,32.06666667,106.9833333,127.4833333
2017-12-01,East of England,90th percentile,16.68333333,65.1,280.5666667,314.0333333
2017-12-01,London,Mean,7.4,24.18333333,74.7,82.26666667
2017-12-01,London,90th percentile,12.06666667,51.18333333,178.9333333,171.8166667
2017-12-01,South East,Mean,8.15,18.86666667,89.75,122.3333333
2017-12-01,South East,90th percentile,14.9,36.66666667,205.5833333,291.0333333
2017-12-01,South West,Mean,10.33333333,37.26666667,90.58333333,125.6333333
2017-12-01,South West,90th percentile,18.63333333,77.45,217.15,295.5166667
2018-01-01,England (Average of all regions),Mean,8.316666667,26.06666667,63.03333333,87.45
2018-01-01,England (Average of all regions),90th percentile,14.48333333,55.55,148.2833333,196.0166667
2018-01-01,North East and Yorkshire,Mean,7.8,25.75,73.6,83.26666667
2018-01-01,North East and Yorkshire,90th percentile,13.36666667,55.96666667,173.0333333,212.6333333
2018-01-01,North West,Mean,9.85,39.98333333,81.18333333,102.4
2018-01-01,North West,90th percentile,16.73333333,91.55,194.2666667,196.5166667
2018-01-01,Midlands,Mean,8.15,23.86666667,46.83333333,59.21666667
2018-01-01,Midlands,90th percentile,14.4,50.15,111.0833333,150.05
2018-01-01,East of England,Mean,8.583333333,29.18333333,82.51666667,98.83333333
2018-01-01,East of England,90th percentile,15.41666667,60.81666667,202.9,232.1666667
2018-01-01,London,Mean,7.15,20.38333333,61.3,68.11666667
2018-01-01,London,90th percentile,11.71666667,42.08333333,144.7166667,139.0833333
2018-01-01,South East,Mean,7.5,16.33333333,61.53333333,89.68333333
2018-01-01,South East,90th percentile,13.46666667,31.4,140.2,212.5833333
2018-01-01,South West,Mean,9.166666667,29.83333333,64.31666667,95.73333333
2018-01-01,South West,90th percentile,16.83333333,62.63333333,148.7333333,215.85
2018-02-01,England (Average of all regions),Mean,8.283333333,25.58333333,68.63333333,93.61666667
2018-02-01,England (Average of all regions),90th percentile,14.28333333,53.96666667,161.5833333,209.8333333
2018-02-01,North East and Yorkshire,Mean,7.766666667,23.48333333,65.95,81.31666667
2018-02-01,North East and Yorkshire,90th percentile,13.26666667,50.51666667,154.6833333,201.5666667
2018-02-01,North West,Mean,8.85,31.88333333,75.96666667,97.88333333
2018-02-01,North West,90th percentile,14.88333333,71.81666667,181.8833333,191.05
2018-02-01,Midlands,Mean,8.383333333,26.45,55.86666667,62.83333333
2018-02-01,Midlands,90th percentile,14.55,55.45,131.5166667,164.5166667
2018-02-01,East of England,Mean,8.7,26.88333333,77.15,99.9
2018-02-01,East of England,90th percentile,15.63333333,56.03333333,187.6,241.0833333
2018-02-01,London,Mean,7.466666667,23.35,74.78333333,77.13333333
2018-02-01,London,90th percentile,11.78333333,49.33333333,178.35,154.2666667
2018-02-01,South East,Mean,7.783333333,17.11666667,75.1,111.1
2018-02-01,South East,90th percentile,14.01666667,32.66666667,172.5666667,255.0666667
2018-02-01,South West,Mean,9.3,31.66666667,67.5,131.75
2018-02-01,South West,90th percentile,17,65.35,157.75,281.3
2018-03-01,England (Average of all regions),Mean,8.583333333,27.73333333,75.23333333,97.55
2018-03-01,England (Average of all regions),90th percentile,14.93333333,59.28333333,179.6,217.3666667
2018-03-01,North East and Yorkshire,Mean,7.85,24.66666667,71.75,78.86666667
2018-03-01,North East and Yorkshire,90th percentile,13.46666667,52.76666667,167.8666667,189.85
2018-03-01,North West,Mean,9.833333333,36.73333333,86.46666667,102.3833333
2018-03-01,North West,90th percentile,16.66666667,85.13333333,207,196.5166667
2018-03-01,Midlands,Mean,8.6,28.76666667,57.63333333,60.48333333
2018-03-01,Midlands,90th percentile,15.3,61.46666667,138.8833333,155.9166667
2018-03-01,East of England,Mean,8.783333333,27.43333333,83.88333333,101.6
2018-03-01,East of England,90th percentile,15.66666667,56.38333333,209.25,242.6333333
2018-03-01,London,Mean,7.4,23.35,71.26666667,75.53333333
2018-03-01,London,90th percentile,11.96666667,49.35,171.4166667,156.6
2018-03-01,South East,Mean,7.9,19.83333333,87.8,125.2833333
2018-03-01,South East,90th percentile,14.46666667,39.21666667,206.2,290.5666667
2018-03-01,South West,Mean,9.733333333,35.11666667,82.35,156.2666667
2018-03-01,South West,90th percentile,17.7,73.5,195.2166667,332.4166667
2018-04-01,England (Average of all regions),Mean,7.616666667,20.15,49.18333333,75.75
2018-04-01,England (Average of all regions),90th percentile,13.4,41.4,114.8333333,169.4666667
2018-04-01,North East and Yorkshire,Mean,7.516666667,19.96666667,53.01666667,61.03333333
2018-04-01,North East and Yorkshire,90th percentile,12.85,41.8,123.7333333,146.65
2018-04-01,North West,Mean,7.85,23.65,59.25,88.46666667
2018-04-01,North West,90th percentile,13.4,51.96666667,141.6333333,176.25
2018-04-01,Midlands,Mean,7.8,21.05,36.41666667,40.71666667
2018-04-01,Midlands,90th percentile,14.03333333,42.8,82.7,95.5
2018-04-01,East of England,Mean,8.033333333,22.75,57.88333333,71.48333333
2018-04-01,East of England,90th percentile,14.6,47.41666667,137.1666667,167.4666667
2018-04-01,London,Mean,6.816666667,16.73333333,43.53333333,75.5
2018-04-01,London,90th percentile,11.25,32.78333333,100.35,176.45
2018-04-01,South East,Mean,7.066666667,15.28333333,55.91666667,81.65
2018-04-01,South East,90th percentile,12.93333333,29.2,131.3166667,195.1
2018-04-01,South West,Mean,8.516666667,23.38333333,50.63333333,121.6833333
2018-04-01,South West,90th percentile,15.83333333,48.25,118.6,254.2333333
2018-05-01,England (Average of all regions),Mean,7.733333333,21.18333333,57.55,88.16666667
2018-05-01,England (Average of all regions),90th percentile,13.51666667,43.71666667,135.1833333,198.9666667
2018-05-01,North East and Yorkshire,Mean,7.683333333,20.75,56.38333333,74.15
2018-05-01,North East and Yorkshire,90th percentile,13.03333333,43.66666667,132.5666667,182.3166667
2018-05-01,North West,Mean,8.166666667,24.76666667,66.68333333,94.43333333
2018-05-01,North West,90th percentile,13.85,54.75,158.85,186.8
2018-05-01,Midlands,Mean,7.55,20.71666667,41.66666667,51.18333333
2018-05-01,Midlands,90th percentile,13.35,41.55,95.33333333,127.5666667
2018-05-01,East of England,Mean,8.5,25,72.83333333,84.6
2018-05-01,East of England,90th percentile,15.45,51.16666667,177.8166667,200.3666667
2018-05-01,London,Mean,6.866666667,18.45,50.13333333,88.46666667
2018-05-01,London,90th percentile,11.35,37.4,120.9833333,217.0666667
2018-05-01,South East,Mean,7.366666667,16.41666667,65,96.81666667
2018-05-01,South East,90th percentile,13.36666667,31.9,151.6333333,221.7333333
2018-05-01,South West,Mean,8.4,24.71666667,70.15,164.95
2018-05-01,South West,90th percentile,15.78333333,51.56666667,161.7666667,352.7333333
2018-06-01,England (Average of all regions),Mean,7.6,21.5,59.6,91.35
2018-06-01,England (Average of all regions),90th percentile,13.3,44.26666667,139.6833333,204.1833333
2018-06-01,North East and Yorkshire,Mean,7.233333333,20.08333333,58.21666667,67.13333333
2018-06-01,North East and Yorkshire,90th percentile,12.23333333,41.83333333,134.8166667,155.5166667
2018-06-01,North West,Mean,8.3,23.25,62.48333333,91.45
2018-06-01,North West,90th percentile,14.18333333,51.41666667,147.6,182.5333333
2018-06-01,Midlands,Mean,7.133333333,21.01666667,44.2,55.41666667
2018-06-01,Midlands,90th percentile,12.55,42.23333333,101.6666667,128.45
2018-06-01,East of England,Mean,8.633333333,26.26666667,84.21666667,102.3166667
2018-06-01,East of England,90th percentile,15.65,53.11666667,205.5666667,243.1166667
2018-06-01,London,Mean,7.166666667,19.78333333,54.8,88.6
2018-06-01,London,90th percentile,11.75,40.05,132.15,201.6
2018-06-01,South East,Mean,7.366666667,16.51666667,63.98333333,94.51666667
2018-06-01,South East,90th percentile,13.68333333,31.83333333,147.4666667,224.35
2018-06-01,South West,Mean,7.633333333,26.53333333,75.83333333,172.0333333
2018-06-01,South West,90th percentile,14.36666667,56.1,178.2833333,350.25
2018-07-01,England (Average of all regions),Mean,7.466666667,22.55,66.15,95.9
2018-07-01,England (Average of all regions),90th percentile,13.05,46.85,157.3166667,213.4833333
2018-07-01,North East and Yorkshire,Mean,7.05,19.91666667,59.2,76.18333333
2018-07-01,North East and Yorkshire,90th percentile,12.05,41.03333333,140.65,179.8833333
2018-07-01,North West,Mean,8.016666667,25.66666667,71.3,99.55
2018-07-01,North West,90th percentile,13.45,56.95,172.7333333,195.0333333
2018-07-01,Midlands,Mean,7.283333333,22.1,49.53333333,57.6
2018-07-01,Midlands,90th percentile,12.91666667,44.75,117.3333333,137.5666667
2018-07-01,East of England,Mean,8.533333333,25.91666667,88.95,104.7166667
2018-07-01,East of England,90th percentile,15.5,53.45,215.5666667,248.4
2018-07-01,London,Mean,6.733333333,20.78333333,58.5,104.35
2018-07-01,London,90th percentile,11.23333333,43.31666667,142.9,245.4
2018-07-01,South East,Mean,7.85,18.35,77.81666667,92.43333333
2018-07-01,South East,90th percentile,14.23333333,35.96666667,180.4,216.1
2018-07-01,South West,Mean,7.15,28.08333333,80.16666667,180.4166667
2018-07-01,South West,90th percentile,13.16666667,59.73333333,190.25,384.5333333
2018-08-01,England (Average of all regions),Mean,7.133333333,20.61666667,56.81666667,82.03333333
2018-08-01,England (Average of all regions),90th percentile,12.56666667,42.33333333,133.6666667,185.3833333
2018-08-01,North East and Yorkshire,Mean,6.783333333,19.28333333,55.11666667,68.75
2018-08-01,North East and Yorkshire,90th percentile,11.56666667,39.41666667,128.4,167.8166667
2018-08-01,North West,Mean,7.883333333,21.76666667,60.11666667,89.08333333
2018-08-01,North West,90th percentile,13.31666667,46.4,141.5166667,178.4166667
2018-08-01,Midlands,Mean,7.133333333,20.7,42.06666667,48.13333333
2018-08-01,Midlands,90th percentile,12.65,42.03333333,97.31666667,109.0166667
2018-08-01,East of England,Mean,8.083333333,24.91666667,76.86666667,87.15
2018-08-01,East of England,90th percentile,14.86666667,52.08333333,184.4166667,216.6833333
2018-08-01,London,Mean,6.05,16.81666667,44.36666667,70.58333333
2018-08-01,London,90th percentile,10.06666667,33.56666667,104.3666667,165.4333333
2018-08-01,South East,Mean,7.366666667,16.9,66.16666667,83.16666667
2018-08-01,South East,90th percentile,13.88333333,33,158.6666667,191.5166667
2018-08-01,South West,Mean,7.033333333,26.8,71.25,158.1
2018-08-01,South West,90th percentile,13,56.96666667,164.2,365.1166667
2018-09-01,England (Average of all regions),Mean,7.183333333,21.6,61.9,87.41666667
2018-09-01,England (Average of all regions),90th percentile,12.56666667,44.25,145.2166667,201.7666667
2018-09-01,North East and Yorkshire,Mean,6.966666667,20.3,60.6,71.18333333
2018-09-01,North East and Yorkshire,90th percentile,11.88333333,41.9,144.8666667,176.3333333
2018-09-01,North West,Mean,7.916666667,22.76666667,68.28333333,92.76666667
2018-09-01,North West,90th percentile,13.28333333,48.53333333,160.3,193.2
2018-09-01,Midlands,Mean,7.116666667,21.3,45.48333333,50.43333333
2018-09-01,Midlands,90th percentile,12.55,42.96666667,105.3166667,127.95
2018-09-01,East of England,Mean,7.966666667,25.7,86.46666667,98.61666667
2018-09-01,East of England,90th percentile,14.35,52.8,210.6666667,247.6333333
2018-09-01,London,Mean,6.266666667,19.11666667,52.33333333,82.73333333
2018-09-01,London,90th percentile,10.46666667,38.93333333,127.7166667,188.2833333
2018-09-01,South East,Mean,7.533333333,17.95,70.06666667,90.78333333
2018-09-01,South East,90th percentile,13.86666667,34.55,160.9666667,205.4333333
2018-09-01,South West,Mean,6.833333333,27,72.13333333,152.2666667
2018-09-01,South West,90th percentile,12.68333333,56.93333333,165.15,349.65
2018-10-01,England (Average of all regions),Mean,7.183333333,21.25,60.38333333,83.8
2018-10-01,England (Average of all regions),90th percentile,12.5,43.41666667,141.7,192.75
2018-10-01,North East and Yorkshire,Mean,6.866666667,20.2,59.23333333,71.53333333
2018-10-01,North East and Yorkshire,90th percentile,11.8,42.1,141.5166667,172.95
2018-10-01,North West,Mean,8.016666667,24.63333333,78.45,94.05
2018-10-01,North West,90th percentile,13.33333333,52.71666667,186.55,199.8
2018-10-01,Midlands,Mean,7.25,20.03333333,43.26666667,52.6
2018-10-01,Midlands,90th percentile,12.7,39.88333333,99.45,125.2833333
2018-10-01,East of England,Mean,8.066666667,25.01666667,79.1,91.45
2018-10-01,East of England,90th percentile,14.56666667,51.1,188.7833333,227.2
2018-10-01,London,Mean,6.116666667,17.48333333,47.35,69.51666667
2018-10-01,London,90th percentile,10.16666667,35.13333333,112.2166667,156.7
2018-10-01,South East,Mean,7.3,17.8,66.78333333,89.33333333
2018-10-01,South East,90th percentile,13.56666667,34.41666667,156.1833333,208.6
2018-10-01,South West,Mean,7.033333333,27.03333333,71.31666667,139.9333333
2018-10-01,South West,90th percentile,12.68333333,56.51666667,163.9833333,309.2666667
2018-11-01,England (Average of all regions),Mean,7.183333333,21.93333333,63.4,85.66666667
2018-11-01,England (Average of all regions),90th percentile,12.51666667,44.88333333,148.7833333,197.1
2018-11-01,North East and Yorkshire,Mean,6.766666667,21.55,64.78333333,73.01666667
2018-11-01,North East and Yorkshire,90th percentile,11.76666667,44.63333333,152.3333333,175.75
2018-11-01,North West,Mean,7.7,23.23333333,68.26666667,88.01666667
2018-11-01,North West,90th percentile,12.85,49.75,163.2333333,189.0333333
2018-11-01,Midlands,Mean,7.383333333,20.98333333,48.86666667,58.6
2018-11-01,Midlands,90th percentile,12.93333333,42.01666667,111.4833333,145.4166667
2018-11-01,East of England,Mean,8.116666667,25.83333333,85.91666667,102
2018-11-01,East of England,90th percentile,14.55,52.38333333,207.3333333,251.7833333
2018-11-01,London,Mean,6.283333333,18.78333333,52.6,76.38333333
2018-11-01,London,90th percentile,10.48333333,38.23333333,126.0833333,171.8333333
2018-11-01,South East,Mean,7.35,18.35,70.03333333,92.55
2018-11-01,South East,90th percentile,13.6,35.6,163.7,210.5
2018-11-01,South West,Mean,6.966666667,28.18333333,74.28333333,120.95
2018-11-01,South West,90th percentile,12.73333333,59.25,171.9666667,257.6666667
2018-12-01,England (Average of all regions),Mean,7.1,22.38333333,66.45,84.21666667
2018-12-01,England (Average of all regions),90th percentile,12.41666667,46.36666667,157.0666667,189.5166667
2018-12-01,North East and Yorkshire,Mean,6.883333333,22.9,73.5,73
2018-12-01,North East and Yorkshire,90th percentile,11.95,47.8,174.85,177.4833333
2018-12-01,North West,Mean,7.683333333,24.83333333,71.01666667,98
2018-12-01,North West,90th percentile,12.91666667,53.7,170.55,204.7666667
2018-12-01,Midlands,Mean,7.3,21.28333333,49.65,53.2
2018-12-01,Midlands,90th percentile,12.86666667,43.28333333,115.7833333,126.55
2018-12-01,East of England,Mean,7.45,22.6,66.5,75.6
2018-12-01,East of England,90th percentile,13.65,46.26666667,158.6666667,186.2833333
2018-12-01,London,Mean,6.3,20.68333333,60.56666667,75.61666667
2018-12-01,London,90th percentile,10.48333333,43.41666667,148.1833333,172.2
2018-12-01,South East,Mean,7.516666667,19.15,82.1,101.55
2018-12-01,South East,90th percentile,13.71666667,37.43333333,191.35,227.15
2018-12-01,South West,Mean,6.816666667,27.4,70.1,100.85
2018-12-01,South West,90th percentile,12.3,58.13333333,163.1166667,220.35
2019-01-01,England (Average of all regions),Mean,7.133333333,22.96666667,67.71666667,85.73333333
2019-01-01,England (Average of all regions),90th percentile,12.33333333,47.65,160.15,196.05
2019-01-01,North East and Yorkshire,Mean,6.75,22.25,67.91666667,74.45
2019-01-01,North East and Yorkshire,90th percentile,11.71666667,46.43333333,167.5,182.5666667
2019-01-01,North West,Mean,7.85,26.4,77.6,101.8166667
2019-01-01,North West,90th percentile,13.1,56.96666667,184.1166667,219.4333333
2019-01-01,Midlands,Mean,7.233333333,20.8,47.83333333,51.7
2019-01-01,Midlands,90th percentile,12.63333333,42.3,111.4333333,127.6833333
2019-01-01,East of England,Mean,7.633333333,24.96666667,77.31666667,76.98333333
2019-01-01,East of England,90th percentile,13.85,51.53333333,187.5166667,194.75
2019-01-01,London,Mean,6.35,21.6,65.4,72.58333333
2019-01-01,London,90th percentile,10.5,46.15,161.8166667,171.4166667
2019-01-01,South East,Mean,7.516666667,19.11666667,78.63333333,100.4166667
2019-01-01,South East,90th percentile,13.45,36.93333333,181.55,215.3333333
2019-01-01,South West,Mean,6.733333333,29.33333333,78.3,103.9
2019-01-01,South West,90th percentile,12.01666667,61.75,178.3833333,232.35
2019-02-01,England (Average of all regions),Mean,7.283333333,23.61666667,72.33333333,89.86666667
2019-02-01,England (Average of all regions),90th percentile,12.68333333,48.95,171.2833333,200.8166667
2019-02-01,North East and Yorkshire,Mean,6.766666667,22.1,67.36666667,66.98333333
2019-02-01,North East and Yorkshire,90th percentile,11.6,46.16666667,164.0666667,158.9833333
2019-02-01,North West,Mean,8.016666667,27,78.25,103.4833333
2019-02-01,North West,90th percentile,13.48333333,57.98333333,183.8833333,211.3833333
2019-02-01,Midlands,Mean,7.216666667,20.63333333,48.25,57.75
2019-02-01,Midlands,90th percentile,12.73333333,41.76666667,113.8166667,135.0666667
2019-02-01,East of England,Mean,7.833333333,26.03333333,86.95,81.25
2019-02-01,East of England,90th percentile,14.25,53.78333333,211.35,205.45
2019-02-01,London,Mean,6.616666667,22.35,69.66666667,85.65
2019-02-01,London,90th percentile,10.98333333,46.98333333,173.1166667,204.7166667
2019-02-01,South East,Mean,7.783333333,21.45,98.3,123
2019-02-01,South East,90th percentile,14.2,42.23333333,227.05,272.3
2019-02-01,South West,Mean,7.016666667,30.05,77.15,102.55
2019-02-01,South West,90th percentile,12.8,63.55,178.0833333,220.9666667
2019-03-01,England (Average of all regions),Mean,7,21.25,61.4,80.48333333
2019-03-01,England (Average of all regions),90th percentile,12.18333333,43.2,145.1833333,183.65
2019-03-01,North East and Yorkshire,Mean,6.533333333,19.75,54.93333333,60.4
2019-03-01,North East and Yorkshire,90th percentile,11.26666667,39.93333333,132.2166667,152.9666667
2019-03-01,North West,Mean,7.466666667,22.45,61.36666667,87.23333333
2019-03-01,North West,90th percentile,12.61666667,47.66666667,146.5,181.4
2019-03-01,Midlands,Mean,7.15,18.6,42.2,57.21666667
2019-03-01,Midlands,90th percentile,12.7,36.7,98.38333333,129.9166667
2019-03-01,East of England,Mean,7.583333333,25.21666667,80.63333333,80.41666667
2019-03-01,East of England,90th percentile,13.66666667,51.63333333,201.3166667,208.3
2019-03-01,London,Mean,6.3,18.25,50.15,73.93333333
2019-03-01,London,90th percentile,10.4,37.21666667,117.9333333,173.7
2019-03-01,South East,Mean,7.416666667,19.36666667,84.11666667,107.1666667
2019-03-01,South East,90th percentile,13.55,37.68333333,196.0166667,247.4166667
2019-03-01,South West,Mean,6.783333333,29.71666667,75.13333333,101.45
2019-03-01,South West,90th percentile,12.25,62.31666667,175.8833333,221.9
2019-04-01,England (Average of all regions),Mean,6.983333333,21.48333333,62.4,80.6
2019-04-01,England (Average of all regions),90th percentile,12.25,43.98333333,149.65,186.4
2019-04-01,North East and Yorkshire,Mean,6.75,21.93333333,62.43333333,61.91666667
2019-04-01,North East and Yorkshire,90th percentile,11.63333333,45.45,158.05,151.75
2019-04-01,North West,Mean,7.466666667,23.35,65.85,83.55
2019-04-01,North West,90th percentile,12.61666667,49.71666667,157.1666667,175.6833333
2019-04-01,Midlands,Mean,7.016666667,18.41666667,41.61666667,54.15
2019-04-01,Midlands,90th percentile,12.36666667,36.86666667,97.91666667,125.0333333
2019-04-01,East of England,Mean,7.866666667,26.85,93.35,92.68333333
2019-04-01,East of England,90th percentile,14.13333333,55.38333333,244.2333333,250.8333333
2019-04-01,London,Mean,6.033333333,16.45,45.66666667,83.43333333
2019-04-01,London,90th percentile,10.16666667,32.95,108.3833333,195.1333333
2019-04-01,South East,Mean,7.25,18.76666667,78.61666667,98.63333333
2019-04-01,South East,90th percentile,13.41666667,36.43333333,183.1166667,229.4666667
2019-04-01,South West,Mean,7,29.85,79.51666667,95.38333333
2019-04-01,South West,90th percentile,13.08333333,62.9,186.1166667,210.1333333
2019-05-01,England (Average of all regions),Mean,6.9,21.03333333,60.7,76.08333333
2019-05-01,England (Average of all regions),90th percentile,12.06666667,42.96666667,143.9666667,173.8666667
2019-05-01,North East and Yorkshire,Mean,6.616666667,20.98333333,59.25,56.61666667
